vname,tiems,vets,talk,target,cutomer,env,total
101台北貓動物醫院,4,3,5,5,4,5,26
文藝獸醫院,3,3,4,4,5,4,23
東京頂尖動物醫院,3,2,4,4,4,5,22
中山動物醫院,5,3,2,0,4,5,19
小王子動物醫院,2,3,4,2,3,5,19
永信動物醫院,2,2,5,3,3,4,19
祐熙動物醫院,2,2,5,2,3,4,18
晨光動物醫院,4,1,5,2,3,3,18
曼哈頓動物醫院,2,3,4,1,3,4,17
上群動物醫院,1,2,3,2,3,5,16
隆記動物醫院,1,1,5,3,3,3,16
太僕動物醫院(龍江院),4,2,4,0,3,3,16
諾亞動物醫院,3,3,3,1,2,3,15
台欣動物醫院,1,1,2,0,5,5,14
米亞動物醫院,3,1,5,0,0,5,14
豐盛動物醫院,1,2,3,2,3,3,14
恩典動物醫院,4,3,3,0,1,3,14
德心動物醫院,1,2,3,0,3,4,13
路米動物醫院,2,3,2,0,2,4,13
日健動物醫院,1,2,2,1,4,3,13
成功獸醫院,4,1,4,0,1,3,13
傑翔動物醫院,3,1,4,1,0,3,12
長沁動物醫院,2,2,1,0,2,4,11
興泰動物醫院,1,2,2,0,2,3,10
美加璦動物醫院,2,1,3,1,0,3,10
慈愛動物醫院,1,3,1,0,3,2,10
貝恩動物醫院,1,1,3,0,0,4,9
梁動物內科醫院,1,1,1,0,3,3,9
金旺動物醫院,1,1,2,0,2,3,9
澤禾動物醫院,1,1,2,0,2,3,9
廣慈動物醫院,2,2,1,0,1,3,9
大晶獸醫院,2,1,3,0,0,3,9
人人愛動物醫院,1,1,2,0,3,2,9
泰山動物醫院,1,1,3,2,0,2,9
澄諾動物醫院,1,1,2,0,0,4,8
嘉慶動物醫院,1,1,2,0,0,4,8
吉米動物醫院,2,1,1,0,0,4,8
不萊梅特殊寵物專科醫院,1,1,1,0,2,3,8
長宏獸醫院,1,1,2,0,1,3,8
東宏獸醫院,1,1,3,0,0,3,8
旺竹動物醫院,2,2,1,0,0,3,8
正安動物醫院,1,1,3,0,1,2,8
興安動物醫院,1,1,2,2,0,2,8
皇家動物醫院,1,2,1,0,1,2,7
華遠獸醫院,1,1,3,0,0,2,7
弘安動物醫院,2,1,2,0,0,2,7
新亞動物醫院,1,1,1,0,0,3,6
台灣動物醫院,1,1,2,0,0,2,6
三民動物醫院,1,1,2,0,0,2,6
良醫動物醫院,1,1,2,0,0,2,6
全陽動物醫院,1,1,2,0,0,2,6
戴瑩乾動物醫院,1,1,1,0,0,2,5
吉林動物醫院,1,1,1,0,0,1,4