,訪談程度,拜訪次數,美容師數量,藥膏患者數量,客流量,環境程度,加總
毛日子寵物美容精品,3,1,2,4,4,4,18
家裡寵物旅館,1,1,0,0,0,5,7
薇達寵物精品沙龍,1,1,2,0,4,4,12
九都專業寵物美容精剪,1,1,2,0,4,4,12
沐沐寵物沙龍,3,1,1,3,3,4,15
LubyPet Spa 路比寵物美容,2,1,3,3,5,5,19
可狗美,0,0,0,0,0,0,0
卡弗邑寵物美容用品訪,3,1,1,3,2,3,13
PetSpot寵點-寵物選品＆美容＆貓旅館,4,1,1,4,2,5,17
北歐寵物旅館 游泳館,2,1,2,0,4,5,14
狗使寵物美容,3,1,1,3,3,3,14
頂尖寵物用品有限公司,0,0,0,0,0,0,0
夢想寵物有限公司,3,1,2,2,2,3,13
Bubble Pet Grooming,3,1,3,3,4,3,17
尾巴搖搖寵物自助澡堂/寵物自助洗/寵物鮮食/用品/講座/認養資訊,4,1,1,4,3,5,18
波波好室 pet grooming,3,1,2,4,4,5,19
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
平均,2.3,0.9,1.4,2.1,2.8,3.6,